epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,11542.1,1.22156,1.00908,1.41148,0.96947,0.98438,0.98019,0.54197,1.59437,0.96935,1.82763,0.000414688,0.000414688,0.000414688
56,11704.5,1.22197,1.01794,1.43806,0.97217,0.99181,0.99412,0.55178,1.63772,0.85757,1.90082,0.000399219,0.000399219,0.000399219
57,12367.7,1.20492,0.99006,1.39789,0.95876,0.95937,0.96234,0.54076,1.63381,0.85033,1.90686,0.00038375,0.00038375,0.00038375
58,12514.6,1.25407,0.99722,1.45647,0.9837,0.97237,0.99273,0.54124,1.64831,0.88312,1.89408,0.000368281,0.000368281,0.000368281
59,14148.2,1.17887,0.99209,1.40379,0.99094,0.99885,0.995,0.52996,1.70059,0.81172,1.96077,0.000352812,0.000352812,0.000352812
60,14301,1.22128,0.97886,1.39678,0.9911,1,0.995,0.51534,1.68957,0.80569,1.95412,0.000337344,0.000337344,0.000337344
61,14449.9,1.26175,1.00289,1.45692,0.98775,1,0.995,0.53797,1.61443,0.76673,1.90648,0.000321875,0.000321875,0.000321875
62,14599.2,1.16915,0.93238,1.40124,0.97426,0.9985,0.99412,0.50892,1.67406,0.79285,2.00538,0.000306406,0.000306406,0.000306406
63,14741.1,1.1729,0.97762,1.38889,0.95877,0.98741,0.99333,0.53183,1.65339,0.79535,1.94404,0.000290937,0.000290937,0.000290937
64,14887.9,1.14599,0.95258,1.38696,0.98063,0.96726,0.99333,0.54564,1.63517,0.81762,1.90315,0.000275469,0.000275469,0.000275469
65,15034.4,1.10166,0.91834,1.35055,0.98811,0.99882,0.995,0.52803,1.66658,0.8129,1.98818,0.00026,0.00026,0.00026
66,17455.2,1.19149,0.96165,1.40343,0.96917,0.98033,0.98017,0.52705,1.6569,0.80567,1.97035,0.000244531,0.000244531,0.000244531
67,17586.8,1.17266,0.96772,1.43174,0.97012,0.98145,0.97721,0.53575,1.64084,0.82137,1.9116,0.000229063,0.000229063,0.000229063
68,17992.1,1.10198,0.9088,1.33134,0.96662,0.97736,0.97628,0.52863,1.63907,0.82353,1.8847,0.000213594,0.000213594,0.000213594
69,18132.6,1.10947,0.88558,1.355,0.98152,0.99338,0.995,0.54007,1.65084,0.81213,1.90662,0.000198125,0.000198125,0.000198125
70,18268.4,1.09914,0.8658,1.32579,0.96155,0.95054,0.9568,0.52706,1.67859,0.83461,1.91027,0.000182656,0.000182656,0.000182656
71,18531.4,1.14308,0.80705,1.44498,0.98428,0.99492,0.995,0.53392,1.67734,0.82454,1.94102,0.000167188,0.000167188,0.000167188
72,18666.5,1.06926,0.77302,1.38591,0.98837,0.99394,0.995,0.54402,1.6678,0.79482,1.9329,0.000151719,0.000151719,0.000151719
73,18803.4,1.05403,0.74411,1.35114,0.9905,0.99728,0.995,0.54223,1.65551,0.77998,1.95334,0.00013625,0.00013625,0.00013625
74,18938.4,1.0108,0.7284,1.39134,0.98647,0.98197,0.99412,0.54046,1.64225,0.77572,1.93148,0.000120781,0.000120781,0.000120781
75,19076.2,1.01678,0.73832,1.36803,0.98746,0.98328,0.99412,0.54459,1.63987,0.80072,1.92319,0.000105312,0.000105312,0.000105312
76,20019.3,1.01753,0.7223,1.3553,0.99239,0.99476,0.995,0.54699,1.63772,0.80695,1.91532,8.98437e-05,8.98437e-05,8.98437e-05
77,20158,0.98482,0.70947,1.33129,0.96937,0.99759,0.99412,0.55168,1.64194,0.80801,1.91905,7.4375e-05,7.4375e-05,7.4375e-05
78,20299.4,1.01832,0.7146,1.35952,0.99246,0.99344,0.995,0.54579,1.66914,0.82021,1.95174,5.89062e-05,5.89062e-05,5.89062e-05
79,20824.5,0.99572,0.72601,1.38048,0.9919,0.9945,0.995,0.5417,1.68002,0.82263,1.96499,4.34375e-05,4.34375e-05,4.34375e-05
80,20960.3,0.95524,0.69672,1.32395,0.98589,0.98392,0.99412,0.5492,1.68179,0.81622,1.95812,2.79687e-05,2.79687e-05,2.79687e-05
